Country,Gross tertiary education enrollment (%),Population,Title,Unemployment rate,Urban_population,Youtuber,category,channel_type,channel_type_rank,country_rank,created_date,created_month,created_year,highest_monthly_earnings,highest_yearly_earnings,lowest_monthly_earnings,lowest_yearly_earnings,rank,subscribers,subscribers_for_last_30_days,uploads,video views,video_views_for_the_last_30_days,video_views_rank,engagement_rate,views_per_upload
Spain,88.9,47076781,Mikecrack,13.96,37927409,Mikecrack,Gaming,Games,4,1,13,Jul,2015,1100000,12700000,66000,792300,82,39100000,800000,1876,16118181673,264108000,188,2.046035806,8591781.276
Thailand,49.3,69625582,WorkpointOfficial,0.75,35294600,WorkpointOfficial,Entertainment,Entertainment,24,1,5,Nov,2012,521800,6300000,32600,391400,83,39000000,200000,72580,36131228583,130461000,27,0.512820513,497812.4633
Brazil,51.3,212559417,GR6 EXPLODE,12.08,183241641,GR6 EXPLODE,Music,Music,30,6,5,Aug,2014,6500000,78500000,408700,4900000,84,38900000,100000,3043,25154232306,1635000000,73,0.257069409,8266261.027
United States,88.2,328239523,TEDx Talks,14.7,270663028,TEDx Talks,Nonprofits & Activism,Nonprofit,1,25,23,Jun,2009,182600,2200000,11400,136900,85,38600000,100000,200933,7339333120,45638000,768,0.259067358,36526.27055
Saudi Arabia,68,34268528,˝˝˝˝˝˝˝˝˝˝ ˝˝˝˝˝˝,5.93,28807838,shfa,People & Blogs,Games,1454,774,24,May,2018,6400,76300,397,4800,86,38400000,2000,982,21528116909,1589000,150882,0.005208333,21922725.98
India,28.1,1366417754,Goldmines Gaane Sune Ansune,5.36,471031528,Goldmines Gaane Sune Ansune,Music,Music,31,22,24,Aug,2015,3300000,39100000,203700,2400000,87,38300000,400000,3532,16718192386,814756000,170,1.044386423,4733350.053
United States,88.2,328239523,21 Savage,14.7,270663028,One Direction,Music,Music,2594,2904,26,Jun,2016,25,305,2,19,88,38200000,100,11,13598903820,6348,539848,0.00026178,1236263984
India,28.1,1366417754,Sony PAL,5.36,471031528,Sony PAL,Shows,Entertainment,25,23,9,May,2014,1700000,20000000,104000,1200000,90,38200000,500000,24089,28519339489,415914000,49,1.308900524,1183915.459
United States,88.2,328239523,Daddy Yankee,14.7,270663028,Daddy Yankee,Music,Music,33,27,16,May,2011,822400,9900000,51400,616800,91,38000000,100000,505,22731415608,205594000,92,0.263157895,45012704.17
United States,88.2,328239523,Like Nastya ESP,14.7,270663028,Like Nastya ESP,Entertainment,Entertainment,28,29,22,Apr,2017,1300000,15400000,80300,963100,93,37600000,700000,743,18208196857,321026000,145,1.861702128,24506321.48
